,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_010239,22062.87,25677.391,19762.789,23106.775,23129.373,29526.056,21590.22,24591.64,31148.186,26140.726,30749.928,26045.324,52546.02,62393.491,45654.937,56710.154,33710.237,34144.603,27430,30802.967
NM_010240,18045.086,15463.928,15733.634,14341.678,18324.906,14821.064,15284.989,12599.083,13224.029,11238.109,11139.992,10052.458,6528.345,4191.959,4858.093,3796.167,6159.091,7361.568,5091.249,6287.347
NM_007393,9679.471,8695.588,8977.449,8016.248,11655.336,10446.086,10977.044,9496.427,19388.608,17261.609,17579.981,16738.774,10449.326,7014.896,10420.657,7105.237,12682.475,11865.027,11276.972,10033.205
NM_017372,11088.079,10541.113,9827.576,9485.17,8062.96,9063.045,6708.213,7604.788,31073.087,30558.663,26071.233,25208.023,2647.076,2295.951,2172.992,2076.417,6253.887,11811.606,5351.482,10422.595
NM_021278,8976.383,5154.037,8339.677,4604.613,10002.415,6330.707,8813.137,6147.731,13503.457,17894.955,11680.977,14323.658,4725.131,2722.223,3747.145,2633.417,6867.52,6298.906,6838.387,5892.991
NM_009983,11438.979,13926.371,9626.801,12320.499,7945.476,8294.304,6671.063,6847.422,7582.024,5557.777,6592.688,5016.852,7879.051,8167.536,6429.948,6778.878,4389.357,6387.591,3596.006,5292.23
NM_053110,7477.928,9801.512,6898.924,8867.352,7127.824,8739.95,6415.121,7499.835,3489.529,2661.433,3048.666,2558.681,16719.951,18467.211,15339.903,16126.146,11421.403,12860.692,9751.739,10762.12
NR_110993,7458.778,8444.73,6872.152,7917.065,6515.756,7338.195,5780.436,6316.337,4778.432,3729.823,4334.38,3501.189,8291.813,9621.669,7418.564,8506.376,6761.371,8168.387,5241.766,7240.822
NM_010821,6311.533,7379.755,5813.405,6556.321,5528.383,6971.48,4869.925,5932.151,7092.373,5372.852,6238.817,5093.25,9622.79,9561.338,9545.078,8489.95,5285.225,7702.894,4646.969,6294.919
NM_001145953,5338.903,4971.758,4952.428,4626.447,5667.872,5606.107,4886.851,4958.647,2044.645,1898.305,1675.792,1584.684,4679.378,3634.891,3640.29,3217.08,4702.559,3953.057,4055.875,3528.936
NM_001146124,4900.107,6967.937,4214.61,6072.096,4482.474,5468.329,3735.749,4388.588,2263.879,1627.049,1978.694,1598.856,6675.781,7201.275,5745.76,6115.854,4247.325,5814.466,3688.963,4684.352
NM_007798,5319.285,6057.581,4892.658,5439.633,4785.919,5140.508,4106.086,4386.208,4101.907,3232.516,3627.479,3120.712,3776.789,3847.793,3268.948,3399.799,4053.797,4713.79,3700.796,4061.959
NM_011701,5196.78,5094.193,4663.203,4669.645,4644.704,5064.48,4349.993,4725.36,3122.923,3084.178,3010.277,3012.333,5096.226,3516.731,4866.063,3546.252,3983.071,3780.11,3323.537,2983.875
